system:index,lat,lon,.geo
80,37.55375936087336,126.76983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,37.55375936087336,126.77483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,37.55875936087336,126.77483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,37.548759360873355,126.77983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,37.55375936087336,126.77983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,37.55875936087336,126.77983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,37.563759360873355,126.77983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,37.56875936087336,126.77983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,37.548759360873355,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,37.55375936087336,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,37.55875936087336,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,37.563759360873355,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,37.56875936087336,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,37.57375936087336,126.78483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,37.548759360873355,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,37.55375936087336,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,37.55875936087336,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,37.563759360873355,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,37.56875936087336,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,37.57375936087336,126.78983369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
353,37.54375936087336,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,37.548759360873355,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
355,37.55375936087336,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
356,37.55875936087336,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
357,37.563759360873355,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
358,37.56875936087336,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
359,37.57375936087336,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
360,37.578759360873356,126.79483369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
408,37.54375936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
409,37.548759360873355,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
410,37.55375936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
411,37.55875936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
412,37.563759360873355,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
413,37.56875936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
414,37.57375936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
415,37.578759360873356,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
416,37.58375936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
418,37.59375936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
419,37.59875936087336,126.79983369359293,"{""type"":""MultiPoint"",""coordinates"":[]}"
463,37.54375936087336,126.80483369359294,"{""type"":""MultiPoint"",""coordinates"":[]}"
