system:index,ADM2_NAME,.geo
89,Kaskazini A,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,Kaskazini B,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,Kigoma Municipal-Ujiji,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,Hai,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,Moshi,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,Moshi Municipal,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,Mwanga,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,Rombo,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,Same,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,Siha,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,Chake Chake,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,Mkoani,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,Kati,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,Kusini,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,Kilwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,Lindi Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,Lindi Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,Liwale,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,Nachingwea,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,Ruangwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,Babati,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,Babati Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,Hanang,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,Kiteto,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,Simanjiro,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,Bunda,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,Musoma Municipal,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,Rorya,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,Serengeti,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,Tarime,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,Chunya,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,Ileje,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,Kyela,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,Mbeya Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,Rungwe,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,Tunduma,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,Magharibi,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,Mjini,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,Kilombero,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,Morogoro Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,Ulanga,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,Masasi,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,Masasi Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,Mtwara Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,Mtwara Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,Nanyumbu,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,Ilemela,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,Nyamagana,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,Sengerema,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,Ukerewe,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,Ludewa,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,Makambako Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,Makete,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,Bagamoyo,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,Kibaha,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,Kibaha Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,Mafia,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,Rufiji,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,Nkasi,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,Sumbawanga Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,Namtumbo,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,Songea Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,Songea Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,Tunduru,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,Kahama Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,Shinyanga Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,Maswa,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,Meatu,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,Manyoni,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,Singida Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,Igunga,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,Nzega,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,Sikonge,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,Tabora Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,Uyui,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,Korogwe,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,Korogwe Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,Lushoto,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,Pangani,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,Tanga,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,Administrative unit not available,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,Berat,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,Cukalat,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,Kutalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,Lumas,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,Otllak,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,Poshnje,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,Roshnik,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,Sinje,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,Terpan,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,Ura Vajgurore,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,Velabisht,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,Vertop,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,Bulqize,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,Fushe Bulqize,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,Gjorice,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,Klenje,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,Martanesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,Ostren,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,Shupenze,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,Zerqan,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,Delvine,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,Finiq,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,Mesopotan,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,Vergo,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,Bashkia Bilisht,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,Bilisht,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,Hocisht,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,Miras,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,Proger,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,Arras,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,Fushe Cidhen,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,Kala E Dodes,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,Kastriot,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,Lure,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,Luzni,"{""type"":""MultiPoint"",""coordinates"":[]}"
